None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
88,MSFT,MRY,2018-12-31,2018-06-30,2018-06-30,2020-01-29,-2187000000,258848000000,252361250000,169662000000.0,89186000000.0,0.437,10.743,-11632000000,133768000000,133768000000,38353000000,16571000000,2.901,2.129,81808000000,3998000000.0,77810000000.0,81808000000,32720000000,10261000000,0,0.017,1.65,36474000000,46735000000,0.423,46735000000,36474000000,36474000000,2.15,2.13,2.15,82718000000,82491000000,82718000000,708278105771,19,15.155,32252000000,4.189,1.0,72007000000,0.652,43736000000,0,104664000000,105360500000,2662000000,1862000000,0.0,1862000000.0,176130000000,58488000000.0,117642000000.0,757640105771,4283000000,-888000000,-9719000000,-10201000000,-12699000000,-33590000000,-6061000000,6557000000,43884000000,50000000,16571000000,16571000000,16571000000,0,0,0.15,36949000000,35058000000,8617000000,0.767,9.159,45.721,45.865,36146000000,0,98.61,6.865,6.88,26481000000,13682000000,110360000000,110360000000,14726000000,0.066,0.201,0.346,0.331,3940000000,22223000000,1.0,7683197503,7700000000,7794000000.0,14.332,215112000000,0,19903000000,32927000000,27.937,111174000000.0
96,MRK,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-27,-5545000000,82637000000,84712000000,25875000000.0,56762000000.0,0.499,10.268,-2615000000,7965000000,7965000000,13509000000,6193000000,1.165,2.088,25114000000,5308000000.0,19806000000.0,25114000000,0,4519000000,0,0.026,1.99,8728000000,13247000000,0.313,13247000000,8728000000,8728000000,2.34,2.32,2.34,26701000000,31330000000,26701000000,214460768365,25,16.189,8307000000,3.195,1.0,28785000000,0.681,31357000000,0,46223000000,52054500000,5440000000,7132000000,899000000.0,6233000000.0,55755000000,22206000000.0,33549000000.0,198694768365,1871000000,-431000000,-8500000000,837000000,-5172000000,-13160000000,4314000000,7258000000,10922000000,-205000000,6220000000,6220000000,6220000000,0,-27000000,0.147,20486000000,8299000000,3318000000,0.85,7.441,31.944,32.654,13291000000,0,76.41,4.698,4.698,7071000000,42579000000,42294000000,42294000000,9752000000,0.073,0.199,0.168,0.206,348000000,10102000000,1.0,2600376500,2600376500,,16.265,51280000000,0,2508000000,3673000000,19.72,3669000000.0
104,MMM,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-06,-6866000000,36500000000,37282000000,13709000000.0,22791000000.0,0.879,16.646,-1315000000,2853000000,2853000000,16682000000,5363000000,1.892,2.721,14622000000,1211000000.0,13411000000.0,14622000000,0,1488000000,0,0.029,5.44,6986000000,8474000000,0.259,8474000000,6986000000,6986000000,9.09,8.89,9.09,9796000000,10346500000,9796000000,122609990703,18,14.469,5124000000,8.707,1.0,16083000000,0.491,12708000000,0,28317000000,28024500000,4366000000,380000000,380000000.0,0.0,26652000000,7244000000.0,19408000000.0,110948990703,-200000000,859000000,-4385000000,933000000,-3193000000,-6701000000,222000000,669000000,6439000000,-160000000,5349000000,5349000000,5349000000,0,14000000,0.163,8876000000,7207000000,2266000000,0.598,11.326,20.742,20.961,8738000000,0,190.54,3.386,3.422,5020000000,40636000000,32765000000,32765000000,1821000000,0.143,0.517,0.249,0.213,302000000,7602000000,1.0,582287135,588500000,602000000.0,55.675,23792000000,0,1637000000,243000000,40.428,6465000000.0
112,MCD,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-26,-2609500000,32811200000,33324050000,4053200000.0,28758000000.0,0.631,-8.042,-2581300000,866000000,866000000,10239200000,5924300000,1.363,-6.243,31075300000,0.0,31075300000.0,31075300000,627800000,1482000000,0,0.024,4.19,8797300000,10279300000,0.489,10279300000,8797300000,7816100000,7.61,7.54,7.61,-6258400000,-5905200000,-6258400000,166211233092,19,16.17,4385400000,5.635,1.0,10786000000,0.513,2331500000,981200000,57715500000,57190925000,51100000,1202800000,0.0,1202800000.0,39069600000,2973500000.0,36096100000.0,136890533092,-1597800000,429100000,-4804500000,2130800000,-3255900000,-5949600000,-2455100000,0,6966700000,-159800000,5924300000,5924300000,5924300000,0,0,0.282,1963400000,8822600000,1207900000,0.551,-21.873,23.107,23.334,22842700000,0,177.57,6.511,6.572,2441500000,50487000000,21025200000,21025200000,0,0.178,-1.003,0.154,0.418,125100000,2200200000,1.0,770910250,778200000,785600000.0,27.018,30479700000,0,1891800000,3778700000,39.167,1079700000.0
120,KO,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-24,-12814000000,83216000000,88242000000,24930000000.0,58286000000.0,0.389,3.987,-1300000000,11102000000,11102000000,13067000000,6476000000,0.866,3.778,44214000000,18838000000.0,25376000000.0,44214000000,0,1086000000,0,0.033,1.56,9133000000,10219000000,0.298,10219000000,9133000000,8183000000,1.51,1.5,1.51,16981000000,18294500000,16981000000,232590933070,25,22.761,6327000000,1.486,1.0,21233000000,0.619,21587000000,950000000,65959000000,71958000000,3071000000,25292000000,5013000000.0,20279000000.0,64158000000,28782000000.0,35376000000.0,201545933070,2945000000,99000000,-436000000,-2995000000,-6644000000,-10347000000,5927000000,7188000000,7627000000,-262000000,6434000000,6434000000,6434000000,0,42000000,0.188,12081000000,9152000000,9533000000,1.033,11.869,31.325,31.358,9598000000,0,47.35,5.876,5.879,3685000000,63234000000,34300000000,34300000000,0,0.073,0.352,0.127,0.266,225000000,11002000000,1.0,4256513898,4259000000,4299000000.0,8.054,61629000000,2674000000,1749000000,2765000000,14.47,-3852000000.0
128,JPM,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-25,-1507000000,2622532000000,2609387500000,,,0.042,75.526,0,278793000000,278793000000,0,32474000000,,9.224,533627000000,,,533627000000,0,7791000000,1470666000000,0.025,2.48,38999000000,46790000000,0.429,46790000000,38999000000,38999000000,9.04,9.0,9.04,256515000000,257282500000,256515000000,421896594974,11,9.017,14187000000,4.177,1.0,109029000000,1.0,54349000000,0,2823017000000,2695020000000,0,2080234000000,,,2366017000000,,,324626594974,-152511000000,0,-19983000000,37240000000,-10109000000,34158000000,-197993000000,-193007000000,14187000000,-2863000000,30709000000,30709000000,30709000000,0,1765000000,0.282,63394000000,45635000000,196710000000,0.274,1.266,10.571,10.799,14934000000,0,97.62,2.977,3.041,73200000000,199202000000,109029000000,109029000000,0,0.012,0.119,0.014,0.358,0,57663000000,1.0,3325410725,3396400000,3414000000.0,32.101,2568183000000,0,8290000000,0,756.149,
136,JNJ,MRY,2018-12-31,2018-12-30,2018-12-30,2020-02-19,-15222000000,152954000000,155161750000,46033000000.0,106921000000.0,0.526,22.283,-3670000000,18107000000,18107000000,27091000000,15297000000,1.474,1.56,30480000000,2796000000.0,27684000000.0,30480000000,0,6929000000,0,0.028,3.54,19004000000,25933000000,0.318,25933000000,19004000000,17999000000,5.7,5.61,5.7,59752000000,62630500000,59752000000,356532336115,19,13.748,18531000000,6.911,1.0,54490000000,0.668,78064000000,1005000000,56033000000,61517500000,8599000000,1580000000,1580000000.0,0.0,93202000000,31230000000.0,61972000000.0,341335336115,283000000,2304000000,-4919000000,-3949000000,-9494000000,-18510000000,-3167000000,-1337000000,22201000000,-241000000,15297000000,15297000000,15297000000,0,0,0.188,34692000000,19798000000,7537000000,0.621,5.713,22.314,22.328,17035000000,0,127.27,4.184,4.183,14098000000,106216000000,81581000000,81581000000,10775000000,0.099,0.244,0.309,0.233,978000000,22540000000,1.0,2681977969,2681500000,2728700000.0,30.424,74890000000,7640000000,2702000000,16566000000,27.928,14803000000.0
144,INTC,MRY,2018-12-31,2018-12-29,2018-12-29,2020-01-24,-974000000,127963000000,127693250000,28787000000.0,99176000000.0,0.555,16.171,-15181000000,3019000000,3019000000,27111000000,21053000000,1.731,0.716,26359000000,1261000000.0,25098000000.0,26359000000,0,9085000000,0,0.026,1.2,23191000000,32276000000,0.456,32276000000,23191000000,23317000000,4.57,4.48,4.57,74563000000,71564500000,74563000000,237834000000,10,7.369,14251000000,3.091,1.0,43737000000,0.617,36349000000,-126000000,98328000000,97355500000,7253000000,18061000000,8631000000.0,9430000000.0,53400000000,16626000000.0,36774000000.0,213367000000,-414000000,358000000,-10175000000,-2603000000,-5541000000,-18607000000,-11239000000,3856000000,29432000000,0,21053000000,21053000000,21053000000,0,0,0.297,20421000000,23316000000,3824000000,0.263,2.862,10.135,10.23,48976000000,0,46.75,3.012,3.043,6722000000,50172000000,70848000000,70848000000,13543000000,0.165,0.294,0.238,0.327,1546000000,6750000000,1.0,4564000000,4611000000,4701000000.0,15.365,91614000000,0,2264000000,6562000000,19.869,12161000000.0
152,IBM,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-26,-29490000000,123382000000,123069750000,49146000000.0,74236000000.0,0.647,18.416,-3716000000,11604000000,11604000000,42655000000,8728000000,1.286,6.338,45812000000,10207000000.0,35605000000.0,45812000000,14610000000,4480000000,0,0.055,6.21,12070000000,16550000000,0.208,16550000000,12070000000,11347000000,9.57,9.52,9.57,16796000000,18316500000,16796000000,138492588632,11,8.368,11531000000,12.643,1.0,36936000000,0.464,39352000000,723000000,80011000000,81256000000,1682000000,3004000000,618000000.0,2386000000.0,106452000000,38227000000.0,68225000000.0,103302588632,-630000000,-139000000,-4443000000,-301000000,-5666000000,-10469000000,-4913000000,-1057000000,15247000000,-495000000,8728000000,8728000000,8728000000,-5000000,0,0.11,24871000000,12065000000,6558000000,0.649,6.15,11.836,11.878,10792000000,0,113.67,1.298,1.303,39711000000,159206000000,79591000000,79591000000,5379000000,0.071,0.477,0.149,0.152,510000000,19366000000,1.0,908793777,912048072,916315714.0,87.266,84030000000,5216000000,2619000000,3046000000,92.133,10919000000.0
160,HD,MRY,2018-12-31,2019-02-03,2019-02-03,2019-11-26,-772000000,44003000000,45521250000,18529000000.0,25474000000.0,2.377,-1.652,-2409000000,1778000000,1778000000,71043000000,11121000000,1.108,-24.431,29202000000,2395000000.0,26807000000.0,29202000000,1782000000,2152000000,0,0.022,4.12,15530000000,17682000000,0.163,17682000000,15530000000,14556000000,9.78,9.73,9.78,-1878000000,784500000,-1878000000,232271032005,15,13.136,10629000000,9.348,1.0,37160000000,0.343,2252000000,974000000,52459000000,49304500000,13925000000,0,0.0,0.0,45881000000,16716000000.0,29165000000.0,208251032005,-1798000000,-21000000,-9727000000,2037000000,-4704000000,-12420000000,-2416000000,0,13038000000,-19000000,11121000000,11121000000,11121000000,0,0,0.103,21630000000,15530000000,7755000000,0.421,-110.89,18.726,18.852,22375000000,0,184.37,1.925,1.937,1936000000,46423000000,108203000000,108203000000,0,0.244,14.176,0.315,0.144,282000000,19513000000,1.0,1129527754,1137000000,1143000000.0,95.165,41751000000,0,3435000000,656000000,36.72,1813000000.0
