None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
168,GS,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-21,693000000,931796000000,957782750000,,,0.038,234.004,-4271000000,130547000000,130547000000,0,10459000000,,9.332,485512000000,,,485512000000,0,1328000000,158257000000,0.019,3.15,12481000000,13809000000,0.377,13809000000,12481000000,12481000000,25.53,25.27,25.53,90185000000,86781250000,90185000000,456061213267,37,33.026,12293000000,31.897,1.0,36616000000,1.0,0,0,1286761000000,1346062000000,0,699799000000,,,841611000000,,,62138213267,20496000000,-162000000,-3256000000,7086000000,-1810000000,22752000000,-18820000000,-14387000000,16564000000,0,10459000000,9860000000,9860000000,0,0,0.269,23461000000,13155000000,180235000000,0.123,0.689,6.302,6.543,0,599000000,167.05,1.697,1.758,72455000000,100100000000,36616000000,36616000000,0,0.01,0.114,0.009,0.341,1831000000,20919000000,1.0,371973740,385400000,390200000.0,95.008,931796000000,0,2022000000,0,2417.737,
176,GE,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-24,-14414000000,311072000000,330910250000,,,0.293,3.562,-2854000000,31124000000,31124000000,72818000000,-22443000000,,8.379,103600000000,,,103600000000,18983000000,6582000000,0,0.049,0.37,-17496000000,-10914000000,-0.113,-10914000000,-17496000000,-22262000000,-2.62,-2.62,-2.62,30981000000,43367250000,30981000000,153841730550,-9,-14.096,2124000000,0.244,1.0,24194000000,0.249,46152000000,4766000000,337396000000,333013250000,13803000000,33508000000,,,259591000000,,,65844730550,-9176000000,8453000000,-17000000,-21542000000,-4474000000,-31807000000,18280000000,1796000000,4978000000,0,-22355000000,-22802000000,-22802000000,1363000000,-178000000,-0.235,39983000000,-15789000000,13826000000,-0.141,2.125,-2.888,-2.889,43611000000,894000000,7.57,0.679,0.679,29487000000,93109000000,97012000000,97012000000,0,-0.069,-0.526,-0.053,-0.18,0,14643000000,1.0,8698115000,8698115000,,11.153,264920000000,12117000000,93000000,0,30.457,
184,DIS,MRY,2018-12-31,2018-09-29,2018-09-29,2020-02-05,-3097000000,98598000000,98266750000,16825000000.0,81773000000.0,0.605,32.537,-4465000000,4150000000,4150000000,32726000000,13066000000,0.942,0.938,20874000000,3790000000.0,17084000000.0,20874000000,4591000000,3011000000,0,0.014,1.68,14835000000,17846000000,0.3,17846000000,14835000000,14261000000,8.4,8.36,8.4,48773000000,45825250000,48773000000,193265149176,13,10.83,9830000000,6.558,1.0,26708000000,0.449,38081000000,574000000,59381000000,60107250000,1392000000,2899000000,0.0,2899000000.0,45766000000,17860000000.0,27906000000.0,173918149176,91000000,-1581000000,-3367000000,-2583000000,-2515000000,-8843000000,-5336000000,0,14295000000,-25000000,12598000000,12598000000,12598000000,0,468000000,0.212,11904000000,14804000000,9479000000,0.2,3.566,13.805,13.921,29540000000,0,116.94,2.926,2.949,9334000000,82679000000,59434000000,59434000000,0,0.128,0.275,0.247,0.25,393000000,8860000000,1.0,1487242596,1499000000,1507000000.0,39.649,60517000000,0,1663000000,3109000000,40.372,-1035000000.0
192,DD,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-14,-12394000000,187855000000,188029000000,126655000000.0,61200000000.0,0.12,122.936,-3951000000,8548000000,8548000000,15302000000,4000000000,1.728,0.975,12639000000,15000000.0,12624000000.0,12639000000,0,5918000000,0,0.028,4.56,4095000000,10013000000,0.443,10013000000,4095000000,4040000000,4.99,4.96,4.99,94292000000,97976000000,94292000000,150924055013,37,15.073,780000000,1.017,1.0,7292000000,0.323,49151000000,55000000,69483000000,88229250000,4107000000,1849000000,29000000.0,1820000000.0,91955000000,73312000000.0,18643000000.0,122695055013,7000000,237000000,-4224000000,6114000000,-3491000000,-1918000000,-2462000000,593000000,4731000000,-344000000,3845000000,3845000000,3845000000,-3595000000,155000000,0.17,7084000000,208000000,2619000000,0.914,1.301,31.91,32.152,9917000000,0,160.44,5.43,5.446,3438000000,30257000000,22594000000,22594000000,1070000000,0.02,0.039,0.046,0.181,0,3028000000,1.0,764740291,767000000,771800000.0,29.458,138704000000,178000000,195000000,4027000000,180.84,53343000000.0
200,CVX,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-21,-3544000000,253863000000,256210000000,34021000000.0,219842000000.0,0.649,80.886,-11400000000,10292000000,10292000000,119989000000,14860000000,1.252,0.636,34459000000,5726000000.0,28733000000.0,34459000000,0,19419000000,0,0.041,4.48,21287000000,40706000000,0.245,40706000000,21287000000,20539000000,7.81,7.74,7.81,154554000000,152670750000,154554000000,234297143604,11,5.756,19218000000,10.058,1.0,46350000000,0.279,4518000000,748000000,246341000000,250667000000,5704000000,35599000000,53000000.0,35546000000.0,98221000000,27171000000.0,71050000000.0,207873143604,4538000000,111000000,-604000000,-4502000000,-8502000000,-13699000000,-12290000000,-1001000000,30618000000,-91000000,14824000000,14824000000,14824000000,0,36000000,0.089,25027000000,21323000000,13953000000,0.574,1.345,14.023,13.93,169207000000,0,108.79,1.25,1.25,16992000000,180987000000,166339000000,166339000000,1210000000,0.058,0.097,0.085,0.128,0,3838000000,1.0,1910774369,1910774369,,87.053,249345000000,0,5715000000,18486000000,130.494,6850000000.0
208,CSCO,MRY,2018-12-31,2018-07-28,2018-07-28,2020-02-19,-849000000,108784000000,121206000000,61837000000.0,46947000000.0,0.407,8.932,-775000000,8934000000,8934000000,18724000000,110000000,2.287,1.518,25569000000,5238000000.0,20331000000.0,25569000000,19685000000,2192000000,0,0.029,1.24,13982000000,16174000000,0.328,16174000000,13982000000,13039000000,0.02,0.02,0.02,43204000000,51849250000,43204000000,221554707770,16,13.698,12891000000,2.665,1.0,30606000000,0.62,34258000000,943000000,64126000000,78685250000,1846000000,37614000000,37614000000.0,0.0,65580000000,27035000000.0,38545000000.0,200201707770,-2780000000,-2979000000,-17627000000,-8000000000,-5968000000,-31764000000,15318000000,19091000000,13666000000,0,110000000,110000000,110000000,0,0,0.002,18297000000,12309000000,1904000000,62.0,4.634,1820.016,2128.5,3006000000,0,42.57,4.058,4.174,15385000000,1233000000,49330000000,49330000000,6332000000,0.001,0.002,0.178,0.283,1576000000,11386000000,1.0,4702882494,4837000000,4881000000.0,10.198,74526000000,3219000000,12929000000,9589000000,15.407,34802000000.0
216,CAT,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-20,-1684000000,78509000000,78429750000,38603000000.0,39906000000.0,0.698,23.808,-1980000000,7857000000,7857000000,37719000000,6148000000,1.368,4.576,36553000000,11553000000.0,25000000000.0,36553000000,0,2766000000,1243000000,0.026,3.28,8249000000,11015000000,0.201,11015000000,8249000000,7845000000,10.39,10.26,10.39,14080000000,15046000000,14080000000,102750859767,12,9.328,4578000000,7.741,1.0,17003000000,0.311,8114000000,404000000,70873000000,70505000000,11529000000,0,0.0,0.0,64429000000,28218000000.0,36211000000.0,74984859767,-430000000,-376000000,-3485000000,1840000000,-1951000000,-3650000000,-3212000000,-869000000,6558000000,-126000000,6147000000,6147000000,6147000000,0,1000000,0.112,8710000000,8293000000,7051000000,0.316,5.326,12.199,12.23,13574000000,0,127.07,1.37,1.373,31899000000,30427000000,54722000000,54722000000,1850000000,0.078,0.409,0.117,0.151,0,5478000000,1.0,590106711,591400000,599400000.0,92.53,70395000000,1439000000,1698000000,0,119.031,10385000000.0
224,BA,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-01,-15083000000,117359000000,114690500000,87830000000.0,29529000000.0,0.882,0.597,-1602000000,7637000000,7637000000,81490000000,10460000000,1.076,344.982,13847000000,3190000000.0,10657000000.0,13847000000,50676000000,2114000000,0,0.021,6.84,12079000000,14193000000,0.14,14193000000,12079000000,11604000000,18.05,17.85,18.05,339000000,-292250000,339000000,186985031502,15,13.174,13720000000,24.16,1.0,19637000000,0.194,11269000000,475000000,30710000000,31529000000,62567000000,2014000000,927000000.0,1087000000.0,116949000000,81590000000.0,35359000000.0,183143031502,-1074000000,-3230000000,-8919000000,1365000000,-3946000000,-11722000000,-4621000000,291000000,15322000000,-53000000,10460000000,10460000000,10460000000,0,0,0.103,7725000000,11912000000,12916000000,0.379,540.245,17.509,17.867,12645000000,0,322.5,1.811,1.811,16782000000,55941000000,101127000000,101127000000,3269000000,0.091,-35.791,0.383,0.119,202000000,4567000000,1.0,567885369,567885369,,178.076,106090000000,284000000,1144000000,1736000000,186.816,6240000000.0
232,AXP,MRY,2018-12-31,2018-12-31,2018-12-31,2020-02-19,-2597000000,188602000000,185627750000,,,0.199,26.04,-1310000000,27445000000,27445000000,0,6921000000,,7.461,61523000000,,,61523000000,0,1293000000,69960000000,0.015,1.44,8122000000,9415000000,0.255,9415000000,8122000000,8122000000,7.93,7.91,7.93,22290000000,21063750000,22290000000,108789235062,13,11.555,7620000000,8.902,1.0,36986000000,1.0,0,0,222680000000,213820750000,0,88043000000,,,166312000000,,,81428235062,-5455000000,-520000000,-1598000000,2481000000,-1324000000,5101000000,-19615000000,-17785000000,8930000000,129000000,6921000000,6921000000,6921000000,0,0,0.187,28864000000,8122000000,12255000000,0.182,3.653,11.765,12.02,4416000000,0,95.32,2.202,2.206,55320000000,12499000000,36986000000,36986000000,0,0.037,0.329,0.038,0.22,283000000,21416000000,1.0,854261803,856000000,859000000.0,43.208,188602000000,0,1201000000,0,220.329,
240,AAPL,MRY,2018-12-31,2018-09-29,2018-09-29,2020-01-29,-3454000000,365725000000,372304500000,131339000000.0,234386000000.0,0.713,21.622,-13313000000,25913000000,25913000000,163756000000,59531000000,1.133,2.413,114483000000,20748000000.0,93735000000.0,114483000000,5966000000,10903000000,0,0.012,2.72,72903000000,83806000000,0.316,83806000000,72903000000,72903000000,12.01,11.91,12.01,107147000000,122293250000,107147000000,1172936495240,16,13.996,64121000000,12.94,1.0,101839000000,0.383,0,0,338366000000,353621000000,3956000000,211187000000,40388000000.0,170799000000.0,258578000000,115929000000.0,142649000000.0,1090307495240,5624000000,-721000000,-72069000000,432000000,-13712000000,-87876000000,16066000000,30845000000,77434000000,0,59531000000,59531000000,59531000000,0,0,0.224,30941000000,70898000000,55888000000,0.226,10.176,18.315,18.796,41304000000,0,225.74,4.105,4.212,48995000000,70400000000,265595000000,265595000000,14236000000,0.16,0.487,0.206,0.274,5340000000,16705000000,1.0,4829926000,4955377000,5000109000.0,53.597,365725000000,0,13372000000,0,73.804,15410000000.0
