None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
81,NKE,MRY,2017-12-31,2017-05-31,2017-05-31,2020-01-07,-213000000,23259000000,22554750000,16061000000.0,7198000000.0,1.523,7.484,-1092000000,3808000000,3808000000,19038000000,4240000000,2.934,0.875,3802000000,331000000.0,3471000000.0,3802000000,0,706000000,0,0.013,0.68,4945000000,5651000000,0.165,5651000000,4945000000,4886000000,2.56,2.51,2.56,12407000000,12404250000,12407000000,86954119591,18,15.387,2754000000,1.661,1.0,15312000000,0.446,422000000,59000000,17357000000,16317250000,5055000000,2371000000,2371000000.0,0.0,10852000000,5474000000.0,5378000000.0,87474119591,670000000,0,-2734000000,1748000000,-1133000000,-2148000000,-1008000000,118000000,3846000000,-20000000,4240000000,4240000000,4240000000,0,0,0.123,10563000000,4749000000,2048000000,0.266,7.05,20.631,20.699,3989000000,0,52.99,2.547,2.557,3677000000,6907000000,34350000000,34350000000,0,0.188,0.342,0.303,0.144,215000000,10563000000,1.0,1650766552,1657800000,1692000000.0,20.72,22837000000,2787000000,646000000,1991000000,13.775,10587000000.0
89,MSFT,MRY,2017-12-31,2017-06-30,2017-06-30,2020-01-29,627000000,250312000000,228115750000,162696000000.0,87616000000.0,0.423,11.323,-8129000000,132981000000,132981000000,34261000000,25489000000,2.919,1.854,91566000000,10121000000.0,81445000000.0,91566000000,26656000000,8778000000,0,0.022,1.53,29901000000,38679000000,0.401,38679000000,29901000000,29901000000,3.29,3.25,3.29,87711000000,74155250000,87711000000,490165080408,16,12.673,31378000000,4.051,1.0,62310000000,0.645,45228000000,0,107924000000,83560250000,2181000000,6023000000,0.0,6023000000.0,162601000000,55745000000.0,106856000000.0,532175080408,1153000000,-25944000000,-11016000000,31459000000,-11845000000,8408000000,-46781000000,-12511000000,39507000000,19000000,25489000000,25489000000,25489000000,0,0,0.264,33285000000,29025000000,7390000000,0.465,6.067,20.879,20.951,30289000000,0,68.93,5.511,5.529,22431000000,17769000000,96571000000,96571000000,13037000000,0.112,0.344,0.358,0.31,3266000000,19942000000,1.0,7720514731,7746000000,7832000000.0,12.467,205084000000,0,4412000000,19937000000,26.476,106951000000.0
97,MRK,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-27,-4910000000,87872000000,92228250000,24766000000.0,63106000000.0,0.435,12.603,-1888000000,6092000000,6092000000,12912000000,2418000000,1.331,1.552,24410000000,3057000000.0,21353000000.0,24410000000,0,4676000000,0,0.034,1.89,6497000000,11173000000,0.278,11173000000,6497000000,6497000000,0.88,0.87,0.88,34336000000,37971000000,34336000000,172398060705,27,15.43,4563000000,1.675,1.0,27210000000,0.678,32467000000,0,55109000000,56971750000,5096000000,14531000000,2406000000.0,12125000000.0,53303000000,18614000000.0,34689000000.0,153304060705,-419000000,-396000000,-3515000000,-1129000000,-5167000000,-10006000000,2679000000,4925000000,6451000000,457000000,2394000000,2394000000,2394000000,0,24000000,0.06,21189000000,6021000000,3102000000,2.148,4.465,64.037,63.943,12439000000,0,56.27,3.821,3.821,6873000000,41350000000,40122000000,40122000000,10339000000,0.026,0.063,0.114,0.162,312000000,10074000000,1.0,2724436835,2724436835,,14.727,55405000000,0,4103000000,2927000000,20.336,6152000000.0
105,MMM,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-06,-7026000000,37987000000,35118250000,14277000000.0,23710000000.0,0.901,19.352,-1324000000,3053000000,3053000000,16055000000,4869000000,1.857,2.28,13949000000,1853000000.0,12096000000.0,13949000000,0,1544000000,0,0.02,4.7,7537000000,9081000000,0.287,9081000000,7537000000,7537000000,8.13,7.93,8.13,11563000000,11572250000,11563000000,149020280380,20,16.41,4916000000,8.228,1.0,15602000000,0.493,13449000000,0,27747000000,26182750000,4034000000,1076000000,1076000000.0,0.0,26365000000,7687000000.0,18678000000.0,140188280380,655000000,-958000000,-1334000000,1603000000,-2803000000,-2655000000,-3086000000,-798000000,6240000000,156000000,4858000000,4858000000,4858000000,0,11000000,0.153,7910000000,7692000000,1945000000,0.578,12.124,28.857,28.951,8866000000,0,235.37,4.428,4.442,4911000000,39115000000,31657000000,31657000000,1870000000,0.138,0.42,0.288,0.238,324000000,6626000000,1.0,595608108,597500000,612700000.0,52.982,24538000000,0,2679000000,310000000,41.068,6590000000.0
113,MCD,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-26,-2178400000,33803700000,32817200000,5327200000.0,28476500000.0,0.695,-4.048,-1686900000,2463800000,2463800000,12199600000,5192300000,1.843,-11.344,29536400000,0.0,29536400000.0,29536400000,0,1363400000,0,0.022,3.83,9494800000,10858200000,0.476,10858200000,9494800000,8573500000,6.43,6.37,6.43,-3268000000,-2694250000,-3268000000,163158783407,17,15.026,3864300000,4.786,1.0,10620800000,0.465,2379700000,921300000,55606000000,53264925000,58800000,1085700000,0.0,1085700000.0,37071700000,2890600000.0,34181100000.0,137211583407,1066400000,2494800000,-4228900000,2027800000,-3089200000,-5310800000,562000000,0,5551200000,264000000,5192300000,5192300000,5192300000,0,0,0.228,1068100000,9552700000,924800000,0.596,-41.986,26.426,26.768,22448300000,0,172.12,6.013,6.09,1976200000,48325800000,22820400000,22820400000,0,0.158,-1.927,0.178,0.416,117500000,2231300000,1.0,797185588,807400000,815500000.0,28.264,31424000000,0,3381200000,4031500000,38.92,2436600000.0
121,KO,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-24,-10305000000,87896000000,90189500000,36545000000.0,51351000000.0,0.402,3.996,-1642000000,15358000000,15358000000,13721000000,1283000000,1.344,4.037,47685000000,16503000000.0,31182000000.0,47685000000,0,1260000000,0,0.032,1.48,7708000000,8968000000,0.248,8968000000,7708000000,6855000000,0.29,0.29,0.29,17072000000,21017000000,17072000000,222360416458,29,24.795,5399000000,1.264,1.0,22491000000,0.621,16636000000,853000000,76393000000,72734000000,2655000000,27269000000,5317000000.0,21952000000.0,68919000000,27194000000.0,41725000000.0,195479416458,-2477000000,12000000,-2087000000,1055000000,-6320000000,-7447000000,-2312000000,-602000000,7041000000,241000000,1248000000,1248000000,1248000000,0,35000000,0.034,14736000000,7755000000,8748000000,5.103,11.45,156.634,158.207,8203000000,0,45.88,5.398,5.413,3667000000,60430000000,36212000000,36212000000,0,0.014,0.059,0.106,0.213,219000000,12834000000,1.0,4260667316,4272000000,4324000000.0,8.477,71260000000,330000000,5607000000,2932000000,16.681,9351000000.0
129,JPM,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-25,-119000000,2533600000000,2551534500000,,,0.039,71.994,0,431304000000,431304000000,0,24441000000,,8.909,494798000000,,,494798000000,0,6179000000,1443982000000,0.019,2.04,34026000000,40205000000,0.399,40205000000,34026000000,34026000000,6.35,6.31,6.35,255693000000,257105250000,255693000000,425190453204,12,10.576,-10827000000,-3.048,1.0,100705000000,1.0,54392000000,0,2542702000000,2559808500000,0,1852429000000,,,2277907000000,,,371052453204,40150000000,0,-15410000000,-17007000000,-8993000000,14642000000,28249000000,28812000000,-10827000000,8086000000,22567000000,22567000000,22567000000,0,1874000000,0.224,59515000000,41190000000,189383000000,0.321,1.451,16.442,16.841,14159000000,0,106.94,3.685,3.771,67729000000,177676000000,100705000000,100705000000,0,0.009,0.088,0.013,0.338,0,53436000000,1.0,3469725577,3551600000,3576800000.0,28.355,2479208000000,0,11459000000,0,698.054,
137,JNJ,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-19,-13199000000,157303000000,152671500000,43088000000.0,114215000000.0,0.501,22.348,-3279000000,17824000000,17824000000,25439000000,1300000000,1.411,1.615,34581000000,3906000000.0,30675000000.0,34581000000,0,5642000000,0,0.024,3.32,18607000000,24249000000,0.317,24249000000,18607000000,17673000000,0.48,0.47,0.48,60160000000,69100500000,60160000000,394805581386,21,16.281,17777000000,6.604,1.0,51011000000,0.667,85134000000,934000000,58389000000,63123000000,8765000000,472000000,472000000.0,0.0,97143000000,30537000000.0,66606000000.0,375360581386,-1148000000,-33319000000,-5296000000,6754000000,-8943000000,-7673000000,-14868000000,21964000000,21056000000,337000000,1300000000,1300000000,1300000000,0,0,0.017,32831000000,18180000000,7310000000,6.917,6.239,288.739,291.083,17005000000,0,139.72,4.91,4.92,13490000000,101793000000,76450000000,76450000000,10594000000,0.009,0.019,0.295,0.243,962000000,21520000000,1.0,2686520050,2692000000,2745300000.0,28.399,72169000000,7105000000,16373000000,18694000000,26.809,12551000000.0
145,INTC,MRY,2017-12-31,2017-12-30,2017-12-30,2020-01-24,862000000,123249000000,122023000000,29500000000.0,93749000000.0,0.514,14.682,-11778000000,3433000000,3433000000,23663000000,9601000000,1.693,0.786,26813000000,1776000000.0,25037000000.0,26813000000,1656000000,8129000000,0,0.023,1.078,20701000000,28830000000,0.459,28830000000,20701000000,20352000000,2.04,1.99,2.04,69019000000,68856000000,69019000000,238593800000,12,8.276,10332000000,2.198,1.0,39098000000,0.623,37134000000,349000000,92074000000,94037250000,6983000000,22860000000,10569000000.0,12291000000.0,54230000000,17421000000.0,36809000000.0,216028800000,-2127000000,-11375000000,-2845000000,-364000000,-5072000000,-8475000000,-15762000000,6661000000,22110000000,0,9601000000,9601000000,9601000000,0,0,0.153,21048000000,18050000000,2928000000,0.528,3.13,22.501,22.627,41109000000,0,46.16,3.442,3.458,5607000000,42083000000,62761000000,62761000000,13035000000,0.079,0.139,0.22,0.33,1358000000,7452000000,1.0,4680000000,4701000000,4835000000.0,13.351,86115000000,0,10751000000,7115000000,18.318,12079000000.0
153,IBM,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-26,-26592000000,125356000000,121245500000,49735000000.0,75621000000.0,0.653,18.861,-3313000000,12234000000,12234000000,42196000000,5753000000,1.331,6.117,46824000000,6987000000.0,39837000000.0,46824000000,15298000000,4541000000,0,0.038,5.9,12010000000,16551000000,0.209,16551000000,12010000000,11395000000,6.17,6.14,6.17,17594000000,18491750000,17594000000,176745913213,15,10.679,13411000000,14.377,1.0,36943000000,0.467,40530000000,615000000,82053000000,79176500000,1583000000,3391000000,608000000.0,2783000000.0,107631000000,37363000000.0,70268000000.0,142034913213,4161000000,-701000000,-4340000000,3447000000,-5506000000,-6418000000,-7081000000,-3067000000,16724000000,937000000,5753000000,5753000000,5753000000,5000000,0,0.073,24929000000,12014000000,6451000000,0.956,8.073,24.689,24.865,11116000000,0,153.42,1.795,1.808,41180000000,153126000000,79139000000,79139000000,5590000000,0.047,0.311,0.152,0.152,534000000,19680000000,1.0,925791378,932828295,937385625.0,84.838,84826000000,4862000000,5642000000,4219000000,90.934,12372000000.0
161,HD,MRY,2017-12-31,2018-01-28,2018-01-28,2019-11-26,-566000000,44529000000,45113750000,18933000000.0,25596000000.0,2.237,1.234,-1850000000,3595000000,3595000000,66548000000,8630000000,1.169,29.625,27028000000,2761000000.0,24267000000.0,27028000000,1805000000,2062000000,0,0.017,3.56,14681000000,16743000000,0.166,16743000000,14681000000,13698000000,7.33,7.29,7.33,1454000000,2878250000,1454000000,264032546315,18,15.77,10181000000,8.643,1.0,34356000000,0.34,2275000000,983000000,49493000000,48039500000,12748000000,0,0.0,0.0,43075000000,16194000000.0,26881000000.0,241992546315,933000000,-374000000,-7745000000,3298000000,-4212000000,-8870000000,-2228000000,0,12031000000,124000000,8630000000,8630000000,8630000000,0,0,0.086,19675000000,14681000000,7244000000,0.486,166.432,28.041,28.271,22075000000,0,207.23,2.398,2.419,1952000000,39935000000,100904000000,100904000000,0,0.191,2.998,0.306,0.145,273000000,17864000000,1.0,1167748619,1178000000,1184000000.0,85.657,42254000000,0,5068000000,1014000000,35.869,2739000000.0
169,GS,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-21,-1880000000,916776000000,911873750000,,,0.036,204.788,-2610000000,110051000000,110051000000,0,4286000000,,10.147,500838000000,,,500838000000,0,1152000000,138604000000,0.011,2.9,11132000000,12284000000,0.375,12284000000,11132000000,11132000000,9.12,9.01,9.12,82243000000,85531750000,82243000000,473730848790,43,38.565,-23099000000,-57.517,1.0,32730000000,1.0,0,0,1307563000000,1284108750000,0,693591000000,,,834533000000,,,96095848790,-11660000000,-2383000000,-6768000000,29131000000,-1769000000,35206000000,-26377000000,-21384000000,-20489000000,0,4286000000,3685000000,3685000000,0,0,0.113,20941000000,11789000000,178169000000,0.318,1.168,26.078,27.934,0,601000000,254.76,2.936,3.126,84788000000,91519000000,32730000000,32730000000,0,0.004,0.043,0.009,0.34,1769000000,18624000000,1.0,377201479,401600000,409100000.0,81.499,916776000000,0,6846000000,0,2282.809,
177,GE,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-24,-14301000000,369245000000,363599750000,,,0.273,6.461,-1566000000,43967000000,43967000000,75593000000,-8849000000,,5.218,134489000000,,,134489000000,22117000000,6194000000,0,0.048,0.84,-6637000000,-443000000,-0.004,-443000000,-6637000000,-11292000000,-1.03,-1.03,-1.03,56030000000,70204250000,56030000000,247865883250,-37,-559.517,4988000000,0.575,1.0,23686000000,0.239,104241000000,4655000000,355526000000,357519500000,19419000000,38696000000,,,292355000000,,,151327883250,-5659000000,1950000000,-2550000000,-12642000000,-8650000000,-18484000000,5379000000,805000000,6554000000,0,-8484000000,-8920000000,-8920000000,312000000,-729000000,-0.09,30035000000,-6349000000,15172000000,-0.816,2.701,-16.965,-16.942,53874000000,872000000,17.45,1.524,1.524,40846000000,117245000000,99279000000,99279000000,0,-0.025,-0.127,-0.019,-0.067,0,14257000000,1.0,8672085000,8672085000,,11.448,265004000000,8819000000,-2808000000,0,30.558,
185,DIS,MRY,2017-12-31,2017-09-30,2017-09-30,2020-02-05,-3528000000,95789000000,92981000000,15889000000.0,79900000000.0,0.593,26.349,-3623000000,4017000000,4017000000,30306000000,9366000000,0.811,1.229,25291000000,6172000000.0,19119000000.0,25291000000,4568000000,2782000000,0,0.016,1.56,13787000000,16569000000,0.301,16569000000,13787000000,13402000000,5.73,5.69,5.73,41315000000,42710000000,41315000000,169991918326,12,10.26,8720000000,5.561,1.0,24831000000,0.45,38421000000,385000000,59047000000,57467750000,1373000000,3202000000,0.0,3202000000.0,50785000000,19595000000.0,31190000000.0,152140918326,-696000000,-417000000,-9092000000,3703000000,-2445000000,-8959000000,-4111000000,0,12343000000,31000000,8980000000,8980000000,8980000000,0,386000000,0.163,11056000000,13775000000,8855000000,0.272,3.682,16.942,17.202,28406000000,0,98.57,2.759,2.803,8633000000,72606000000,55137000000,55137000000,0,0.097,0.21,0.24,0.25,364000000,8176000000,1.0,1543480961,1568000000,1578000000.0,35.164,57368000000,0,4422000000,4480000000,36.587,-3706000000.0
