None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
1,XOM,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-26,-16262000000,348691000000,346334750000,47134000000.0,301557000000.0,0.706,44.296,-15402000000,3177000000,3177000000,158321000000,19848000000,0.816,0.822,42336000000,17930000000.0,24406000000.0,42336000000,0,19893000000,0,0.037,3.06,19137000000,39030000000,0.16,39030000000,19137000000,18536000000,4.63,4.63,4.63,187688000000,181573250000,187688000000,390735552280,20,10.011,14664000000,3.461,1.0,86042000000,0.352,0,601000000,330079000000,330393500000,16992000000,39160000000,0.0,39160000000.0,154191000000,57771000000.0,96420000000.0,354391552280,-480000000,-2404000000,-747000000,-1048000000,-13001000000,-15130000000,-15730000000,0,30066000000,314000000,19710000000,19710000000,19710000000,0,138000000,0.081,66767000000,19275000000,36796000000,0.661,1.888,17.98,18.065,252630000000,0,83.64,1.45,1.45,25597000000,414540000000,244363000000,244363000000,1790000000,0.057,0.109,0.058,0.078,0,10649000000,1.0,4237106077,4237106077,,57.672,348691000000,0,-1174000000,29938000000,82.295,-10637000000.0
9,WMT,MRY,2017-12-31,2018-01-31,2018-01-31,2019-12-04,-10181000000,204522000000,203805000000,59664000000.0,144858000000.0,2.455,26.0,-9673000000,6756000000,6756000000,373396000000,10523000000,0.76,1.589,46487000000,9662000000.0,36825000000.0,46487000000,0,10529000000,0,0.019,2.04,16792000000,27321000000,0.055,27321000000,16792000000,14462000000,3.29,3.28,3.29,77869000000,76023500000,77869000000,358690862037,21,13.129,18664000000,6.232,1.0,126947000000,0.254,18242000000,2330000000,147490000000,150240000000,43783000000,0,0.0,0.0,123700000000,78521000000.0,45179000000.0,315789862037,-130000000,671000000,-8296000000,-4496000000,-6124000000,-19875000000,-9079000000,0,28337000000,487000000,9862000000,9862000000,9862000000,0,661000000,0.02,106510000000,20437000000,46092000000,0.62,4.055,32.021,32.401,114818000000,0,106.6,0.631,0.638,5614000000,85107000000,500343000000,500343000000,0,0.048,0.13,0.112,0.034,0,106510000000,1.0,2962381445,2995000000,3010000000.0,167.059,186280000000,0,4600000000,8999000000,62.197,-18857000000.0
17,VZ,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-21,2659000000,257143000000,252883500000,29913000000.0,227230000000.0,0.498,10.552,-17247000000,2079000000,2079000000,53063000000,30550000000,0.905,4.93,117095000000,3453000000.0,113642000000.0,117095000000,0,16954000000,0,0.044,2.321,24878000000,41832000000,0.332,41832000000,24878000000,20145000000,7.37,7.36,7.37,43096000000,29656500000,43096000000,328934803449,13,7.863,7071000000,1.731,1.0,72971000000,0.579,127836000000,4733000000,211286000000,210240750000,1034000000,1039000000,0.0,1039000000.0,212456000000,33037000000.0,179419000000.0,215924803449,-289000000,-2266000000,0,7760000000,-9472000000,-6151000000,-18456000000,0,24318000000,0,30101000000,30101000000,30101000000,0,449000000,0.239,45546000000,27425000000,21232000000,0.315,5.01,7.173,7.182,88568000000,0,52.93,1.713,1.715,23493000000,35635000000,126034000000,126034000000,0,0.119,1.015,0.118,0.197,0,28592000000,1.0,4079440836,4084000000,4089000000.0,30.86,129307000000,0,-9956000000,31232000000,31.662,-3124000000.0
25,V,MRY,2017-12-31,2017-09-30,2017-09-30,2020-02-01,878000000,67977000000,64643500000,19023000000.0,48954000000.0,0.284,15.57,-695000000,10905000000,10905000000,2628000000,6699000000,1.903,1.075,18367000000,1749000000.0,16618000000.0,18367000000,0,556000000,0,0.006,0.66,12257000000,12813000000,0.698,12813000000,12257000000,11694000000,2.8,2.8,2.8,32760000000,31803250000,32760000000,227171680872,19,17.73,8622000000,4.098,1.0,15730000000,0.857,42958000000,563000000,22487000000,20909000000,0,5490000000,3564000000.0,1926000000.0,35217000000,9994000000.0,25223000000.0,219747680872,4364000000,-302000000,-6742000000,2473000000,-1579000000,-5924000000,735000000,1732000000,9317000000,236000000,6699000000,6699000000,6699000000,0,0,0.365,3586000000,12144000000,2182000000,0.236,6.708,32.803,37.586,2253000000,0,105.24,11.97,12.061,2554000000,9508000000,18358000000,18358000000,0,0.104,0.211,0.586,0.668,235000000,2391000000,1.0,2088062342,2104000000,2654000000.0,8.725,25019000000,0,4995000000,5980000000,11.891,9029000000.0
33,UTX,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-06,-7525000000,96920000000,94609500000,32858000000.0,64062000000.0,0.632,37.481,-2014000000,8985000000,8985000000,44201000000,4552000000,1.347,2.208,27485000000,2496000000.0,24989000000.0,27485000000,0,2140000000,0,0.021,2.72,8304000000,10444000000,0.175,10444000000,8304000000,7395000000,5.76,5.7,5.76,29610000000,28881750000,29610000000,120610564822,15,11.548,3617000000,4.578,1.0,15636000000,0.261,43793000000,909000000,47236000000,44728000000,9881000000,0,0.0,0.0,65368000000,24391000000.0,40977000000.0,101873564822,1829000000,435000000,-1422000000,3079000000,-2074000000,-993000000,-3019000000,-317000000,5631000000,210000000,4552000000,4552000000,4552000000,0,0,0.076,8856000000,6780000000,9579000000,0.472,3.441,22.38,22.148,10186000000,0,127.57,1.703,1.684,12595000000,55242000000,59837000000,59837000000,2427000000,0.048,0.158,0.186,0.139,192000000,6429000000,1.0,798569921,790000000,799100000.0,75.743,53127000000,1723000000,2843000000,0,67.249,8467000000.0
41,UNH,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-15,-2667000000,139058000000,138686000000,37084000000.0,101974000000.0,1.45,49.56,-2023000000,11981000000,11981000000,154148000000,10823000000,0.735,1.822,31692000000,2857000000.0,28835000000.0,31692000000,2269000000,2245000000,0,0.013,2.875,14944000000,17189000000,0.085,17189000000,14944000000,13758000000,10.95,10.72,10.95,47776000000,44534500000,47776000000,226633609807,15,13.185,11573000000,12.005,1.0,47011000000,0.234,63045000000,1186000000,45261000000,38153000000,0,34951000000,6610000000.0,28341000000.0,87036000000,50463000000.0,36573000000.0,213640609807,1551000000,-2131000000,-812000000,-2615000000,-2773000000,-3441000000,-8599000000,-4319000000,13596000000,-5000000,10558000000,10558000000,10558000000,0,265000000,0.052,31802000000,15209000000,33051000000,0.263,4.472,20.235,20.133,7013000000,0,220.46,1.062,1.056,15830000000,48730000000,201159000000,201159000000,0,0.076,0.237,0.392,0.074,597000000,29557000000,1.0,969067449,964000000,985000000.0,208.671,76013000000,0,3200000000,2182000000,78.852,-13379000000.0
49,TSLA,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-14,33348000,28655372000,26964969250,6570520000.0,22084852000.0,0.436,25.526,-4081000000,3523237000,3523237000,9536000000,-2241000000,0.856,5.433,10314938000,896549000.0,9418389000.0,10314938000,2193052000,1636000000,853919000,0.0,0.0,-1459000000,177000000,0.015,177000000,-1459000000,-1930000000,-11.83,-11.83,-11.83,4237242000,4760548250,4237242000,58668350433,-40,331.46,-4142000000,-24.952,1.0,2223000000,0.189,421739000,471000000,27350664000,25306667000,2263537000,898374000,0.0,898374000.0,23022980000,7674670000.0,15348310000.0,52327783433,198000000,-115000000,712000000,3672000000,0,4415000000,-4196000000,0,-61000000,40000000,-1962000000,-1962000000,-1962000000,0,-279000000,-0.167,3855000000,-1632000000,2390250000,0.0,12.349,-26.671,-26.319,20491616000,0,311.35,4.45,4.395,515381000,-4974299000,11759000000,11759000000,1378000000,-0.073,-0.412,-0.058,-0.124,467000000,2477000000,1.0,168067395,166000000,166000000.0,70.837,28233633000,0,32000000,0,170.082,-1104150000.0
57,TRV,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-13,-343000000,103483000000,102927250000,,,0.281,85.982,0,344000000,344000000,17467000000,2056000000,,3.361,6571000000,,,6571000000,0,0,0,0.021,2.83,3099000000,3099000000,0.107,3099000000,3099000000,2730000000,7.39,7.33,7.39,23731000000,23734750000,23731000000,43666108621,14,14.09,4148000000,15.029,1.0,11435000000,0.396,4293000000,369000000,105417000000,105243000000,0,72502000000,,,79752000000,,,37124108621,37000000,-439000000,-1267000000,132000000,-785000000,-1920000000,-2202000000,-1475000000,4148000000,11000000,2056000000,2056000000,2056000000,0,0,0.071,8336000000,3099000000,5049000000,0.383,1.564,18.056,18.355,0,0,135.64,1.284,1.295,20228000000,33462000000,28902000000,28902000000,0,0.02,0.087,0.029,0.107,0,4170000000,1.0,273695876,276000000,278600000.0,104.717,99190000000,70000000,674000000,0,359.384,
65,PG,MRY,2017-12-31,2017-06-30,2017-06-30,2020-01-23,-14632000000,120406000000,121143250000,26494000000.0,93912000000.0,0.537,21.809,-3384000000,5569000000,5569000000,32638000000,15411000000,0.877,1.159,31592000000,13554000000.0,18038000000.0,31592000000,0,2820000000,0,0.031,2.698,18854000000,21674000000,0.333,21674000000,18854000000,18389000000,5.8,5.59,5.8,55778000000,55755250000,55778000000,247493093914,13,11.419,9369000000,3.663,1.0,32420000000,0.498,68886000000,465000000,47333000000,46643250000,4624000000,9568000000,9568000000.0,0.0,64628000000,30210000000.0,34418000000.0,222896093914,-2529000000,-491000000,-2731000000,1399000000,-7236000000,-8568000000,-6685000000,-3381000000,12753000000,-29000000,15326000000,15326000000,15326000000,-5217000000,85000000,0.236,18654000000,13766000000,9632000000,0.465,3.996,14.544,15.026,19893000000,0,87.15,3.426,3.426,4594000000,96124000000,65058000000,65058000000,0,0.127,0.275,0.404,0.29,351000000,18654000000,1.0,2557614388,2557614388,,25.437,51520000000,0,3063000000,8126000000,20.144,-3716000000.0
73,PFE,MRY,2017-12-31,2017-12-31,2017-12-31,2020-02-28,-9321000000,171797000000,170322500000,41141000000.0,130656000000.0,0.309,11.944,-2217000000,1342000000,1342000000,11228000000,21355000000,1.352,1.404,43491000000,9953000000.0,33538000000.0,43491000000,0,6269000000,0,0.035,1.28,12259000000,18528000000,0.353,18528000000,12259000000,12259000000,3.57,3.52,3.57,71308000000,62220250000,71308000000,257068819022,21,13.875,14585000000,2.443,1.0,41318000000,0.786,104693000000,0,78826000000,77764250000,7578000000,25665000000,18650000000.0,7015000000.0,100141000000,30427000000.0,69714000000.0,215896819022,-1235000000,-1000000000,-4138000000,-941000000,-7659000000,-13350000000,-4740000000,-2194000000,16802000000,53000000,21308000000,21308000000,21308000000,-2000000,47000000,0.406,29012000000,12306000000,4656000000,0.359,3.028,10.132,10.146,13865000000,0,36.22,4.109,4.115,8221000000,85291000000,52546000000,52546000000,7683000000,0.125,0.342,0.158,0.233,840000000,14804000000,1.0,5960707317,5970000000,6058000000.0,8.802,67104000000,4905000000,-9049000000,23074000000,11.24,10714000000.0
