Date,^DJI
2001-02-01,10495.2802734375
2001-03-01,9878.7802734375
2001-04-01,10734.9697265625
2001-05-01,10911.9404296875
2001-06-01,10502.400390625
2001-07-01,10522.8095703125
2001-08-01,9949.75
2001-09-01,8847.5595703125
2001-10-01,9075.1396484375
2001-11-01,9851.5595703125
2001-12-01,10021.5703125
2002-01-01,9920.0
2002-02-01,10106.1298828125
2002-03-01,10403.9404296875
2002-04-01,9946.2197265625
2002-05-01,9925.25
2002-06-01,9243.259765625
2002-07-01,8736.58984375
2002-08-01,8663.5
2002-09-01,7591.93017578125
2002-10-01,8397.0302734375
2002-11-01,8896.08984375
2002-12-01,8341.6298828125
2003-01-01,8053.81005859375
2003-02-01,7891.080078125
2003-03-01,7992.1298828125
2003-04-01,8480.08984375
2003-05-01,8850.259765625
2003-06-01,8985.4404296875
2003-07-01,9233.7998046875
2003-08-01,9415.8203125
2003-09-01,9275.0595703125
2003-10-01,9801.1201171875
2003-11-01,9782.4599609375
2003-12-01,10453.919921875
2004-01-01,10488.0703125
2004-02-01,10583.919921875
2004-03-01,10357.7001953125
2004-04-01,10225.5703125
2004-05-01,10188.4501953125
2004-06-01,10435.48046875
2004-07-01,10139.7099609375
2004-08-01,10173.919921875
2004-09-01,10080.26953125
2004-10-01,10027.4697265625
2004-11-01,10428.01953125
2004-12-01,10783.009765625
2005-01-01,10489.9404296875
2005-02-01,10766.23046875
2005-03-01,10503.759765625
2005-04-01,10192.509765625
2005-05-01,10467.48046875
2005-06-01,10274.9697265625
2005-07-01,10640.91015625
2005-08-01,10481.599609375
2005-09-01,10568.7001953125
2005-10-01,10440.0703125
2005-11-01,10805.8701171875
2005-12-01,10717.5
2006-01-01,10864.8603515625
2006-02-01,10993.41015625
2006-03-01,11109.3203125
2006-04-01,11367.1396484375
2006-05-01,11168.3095703125
2006-06-01,11150.2197265625
2006-07-01,11185.6796875
2006-08-01,11381.150390625
2006-09-01,11679.0703125
2006-10-01,12080.73046875
2006-11-01,12221.9296875
2006-12-01,12463.150390625
