Date,AAPL,AXP,FB,GOOG,MSFT,SBUX,SPY,STAG,UNP,VOO,VTI,VZ,WPG
2010-02-01,25.374073028564453,32.92587661743164,,262.4164123535156,22.504671096801758,9.72647476196289,90.66792297363281,,24.919498443603516,,46.31320571899414,16.886917114257812,
2010-03-01,29.14137077331543,35.57270431518555,,282.5011291503906,23.09885025024414,10.303865432739258,95.79327392578125,,27.33528709411621,,49.08061599731445,18.106891632080078,
2010-04-01,32.37667465209961,39.936100006103516,,261.8684387207031,24.084636688232422,11.029847145080566,97.67578887939453,,28.215391159057617,,50.350250244140625,16.869407653808594,
2010-05-01,31.854618072509766,34.52412414550781,,241.90826416015625,20.34654998779297,11.037171363830566,89.91499328613281,,26.63792610168457,,46.38111877441406,16.32893943786621,
2010-06-01,31.191194534301758,34.37691879272461,,221.64422607421875,18.228164672851562,10.35933780670166,84.85896301269531,,26.17384910583496,,43.462135314941406,16.6256160736084,
2010-07-01,31.900508880615234,38.82887649536133,,241.5197296142578,20.44628143310547,10.5938138961792,91.0862045288086,,28.1168270111084,,46.738243103027344,18.384578704833984,
2010-08-01,30.14582061767578,34.67982482910156,,224.1697540283203,18.59256935119629,9.796610832214355,86.9891128540039,,27.465396881103516,,44.5363655090332,19.02146339416504,
2010-09-01,35.1866569519043,36.55864334106445,,261.9132995605469,19.504093170166016,10.949509620666504,94.27466583251953,,31.084941864013672,85.63859558105469,48.4997673034668,20.992536544799805,
2010-10-01,37.323280334472656,36.06284713745117,,305.7041320800781,21.240264892578125,12.23945140838623,98.40013885498047,,33.319419860839844,89.35443878173828,50.71388626098633,20.921680450439453,
2010-11-01,38.58442687988281,37.771339416503906,,276.8174133300781,20.117328643798828,13.113701820373535,98.40013885498047,,34.24283981323242,89.25544738769531,50.97278594970703,20.922773361206055,
2010-12-01,39.999332427978516,37.509159088134766,,295.8759765625,22.364389419555664,13.827766418457031,104.42921447753906,,35.50924301147461,94.99787139892578,54.230098724365234,23.38697624206543,
2011-01-01,42.077667236328125,37.91115951538086,,299.0590515136719,22.22015380859375,13.569541931152344,107.42443084716797,,36.264183044433594,97.55459594726562,55.63697052001953,23.28238296508789,
2011-02-01,43.80010986328125,38.233795166015625,,305.5547180175781,21.29865264892578,14.193577766418457,111.15607452392578,,36.563106536865234,100.9363021850586,57.69416809082031,24.448505401611328,
2011-03-01,43.21726608276367,39.66417694091797,,292.2844543457031,20.46535873413086,15.965850830078125,110.68856811523438,,37.994140625,100.48873138427734,57.69416809082031,25.521272659301758,
2011-04-01,43.41816329956055,43.0689811706543,,271.0340881347656,20.89255714416504,15.641775131225586,114.3890380859375,7.357800006866455,39.980201721191406,103.90258026123047,59.61359786987305,25.018001556396484,
2011-05-01,43.13294219970703,45.460487365722656,,263.5222473144531,20.1590576171875,15.896713256835938,113.10623168945312,7.357800006866455,40.55979537963867,102.6870346069336,58.981178283691406,24.76975440979004,
2011-06-01,41.62502670288086,45.5485954284668,,252.24452209472656,21.094409942626953,17.12430763244629,110.64958953857422,7.097095489501953,40.716636657714844,100.47245025634766,57.67424392700195,24.970964431762695,
2011-07-01,48.42179870605469,44.245967864990234,,300.71783447265625,22.23025894165039,17.384492874145508,108.97368621826172,7.2417707443237305,39.96782684326172,98.88595581054688,56.60726547241211,23.669767379760742,
2011-08-01,47.721168518066406,43.95418167114258,,269.469970703125,21.581201553344727,16.747051239013672,102.98278045654297,6.340231418609619,35.946861267089844,93.43132019042969,53.160865783691406,24.576797485351562,
2011-09-01,47.28590393066406,39.701133728027344,,256.558349609375,20.321292877197266,16.227758407592773,95.34038543701172,6.010256767272949,32.19331741333008,86.60470581054688,48.876155853271484,25.00486946105957,
2011-10-01,50.19508361816406,44.758811950683594,,295.2134704589844,21.741907119750977,18.43410873413086,106.29361724853516,6.482367515563965,39.249290466308594,96.44667053222656,54.71986770629883,25.127172470092773,
2011-11-01,47.39502716064453,42.654335021972656,,298.57586669921875,20.884639739990234,18.921504974365234,105.86168670654297,6.331471920013428,40.762977600097656,96.16064453125,54.51559066772461,25.99384307861328,
2011-12-01,50.22236633300781,41.881858825683594,,321.7440185546875,21.354488372802734,20.10080909729004,106.29361724853516,6.922970771789551,42.29358673095703,96.66543579101562,54.736907958984375,27.640424728393555,
2012-01-01,56.60617446899414,44.51890182495117,,288.97186279296875,24.291141510009766,20.935251235961914,111.92832946777344,7.393850803375244,45.63508605957031,101.59375,57.83918380737305,25.94562339782715,
2012-02-01,67.2657241821289,47.13593673706055,,307.97064208984375,26.109073638916016,21.21485137939453,116.7866439819336,7.585173606872559,44.014259338378906,105.94390869140625,60.279117584228516,26.597156524658203,
2012-03-01,74.34770202636719,51.565242767333984,,319.4227294921875,26.71152114868164,24.503379821777344,120.01695251464844,8.615869522094727,43.37051773071289,108.95684814453125,61.86293029785156,26.680906295776367,
2012-04-01,72.41693115234375,53.65958786010742,,301.2956848144531,26.512798309326172,25.152244567871094,119.73823547363281,8.75578784942627,45.37199020385742,108.7457504272461,61.7327880859375,28.181400299072266,
2012-05-01,71.64187622070312,49.92823028564453,29.600000381469727,289.345458984375,24.169538497924805,24.06495475769043,112.5472412109375,8.648857116699219,44.952327728271484,102.21690368652344,57.8895378112793,29.444246292114258,
2012-06-01,72.41940307617188,52.056640625,31.100000381469727,288.9519348144531,25.494945526123047,23.448383331298828,116.51087188720703,9.17093276977539,48.666168212890625,105.88937377929688,59.92724609375,31.424177169799805,
